,date,company_name,action,maya_link,html_link
0,22:10 01/01/2017,אוהה ,מינוי דירקטור - יאיר לוטשטיין,http://maya.tase.co.il/reports/details/1074729,http://mayafiles.tase.co.il/RHtm/1074001-1075000/H1074729.htm
1,18:33 01/01/2017,אברבוך ,"מינוי דח""צ - מנשקו ליהי",http://maya.tase.co.il/reports/details/1074705,http://mayafiles.tase.co.il/RHtm/1074001-1075000/H1074705.htm
2,15:32 01/01/2017,הוט ,"מינוי נושא משרה-סמנכ""לית מערכות מידע-דריגוב מירב",http://maya.tase.co.il/reports/details/1074651,http://mayafiles.tase.co.il/RHtm/1074001-1075000/H1074651.htm
3,15:05 01/01/2017,נטו מלינדה ,"מינוי מנכ""ל-אבני אורן",http://maya.tase.co.il/reports/details/1074636,http://mayafiles.tase.co.il/RHtm/1074001-1075000/H1074636.htm
4,14:00 01/01/2017,גבעות יהש ,"מינוי נושא משרה-מנכ""ל זמני של השותפות-אמיר משה בן דוד",http://maya.tase.co.il/reports/details/1074593,http://mayafiles.tase.co.il/RHtm/1074001-1075000/H1074593.htm
5,13:31 01/01/2017,אנגל משאבים ,"אסיפה שנתית ב-7.2.17-מינוי דחצי""ת,כתב הצבעה ",http://maya.tase.co.il/reports/details/1074575,http://mayafiles.tase.co.il/RHtm/1074001-1075000/H1074575.htm
6,10:10 01/01/2017,מישורים חברה לפיתוח ,"מינוי מנכ""ל-לבנטל דניאל",http://maya.tase.co.il/reports/details/1074495,http://mayafiles.tase.co.il/RHtm/1074001-1075000/H1074495.htm
7,10:07 01/01/2017,מישורים חברה לפיתוח ,"מינוי יו""ר דירקטוריון - שריקי רמי",http://maya.tase.co.il/reports/details/1074493,http://mayafiles.tase.co.il/RHtm/1074001-1075000/H1074493.htm
8,00:34 01/01/2017,איי.די.אן-ש ,מינוי דירקטור-ותקין יהודה,http://maya.tase.co.il/reports/details/1074413,http://mayafiles.tase.co.il/RHtm/1074001-1075000/H1074413.htm
9,18:36 31/12/2016,או.אר.טי. ,"תוצ' אסיפה מ27.12-אושר מינוי מחדש של דח""צית-תיקון טעות סופר",http://maya.tase.co.il/reports/details/1074406,http://mayafiles.tase.co.il/RHtm/1074001-1075000/H1074406.htm
10,23:15 29/12/2016,רגנסי ,"מינוי נושא משרה-סמנכ""ל כספים-ארתור לשינסקי",http://maya.tase.co.il/reports/details/1074387,http://mayafiles.tase.co.il/RHtm/1074001-1075000/H1074387.htm
11,22:48 29/12/2016,חג'ג' נדלן ,"מינוי נושא משרה-סמנכ""ל כספים-ארתור לשינסקי",http://maya.tase.co.il/reports/details/1074375,http://mayafiles.tase.co.il/RHtm/1074001-1075000/H1074375.htm
12,21:45 29/12/2016,דלק אנרגיה ,"הודעת עמדה מטעם בעמ""נ מיעוט בק""ע בנוגע להצבעה על מינוי דח""צ באסיפה ",http://maya.tase.co.il/reports/details/1074374,http://mayafiles.tase.co.il/RHtm/1074001-1075000/H1074374.htm
13,16:49 29/12/2016,גירון פיתוח ,"באסיפת בעמ""נ אושרה מד' תגמול מעודכנת,מינוי דיר' ותנאי העסקתה",http://maya.tase.co.il/reports/details/1074234,http://mayafiles.tase.co.il/RHtm/1074001-1075000/H1074234.htm
14,16:41 29/12/2016,איילון ,"מינוי יו""ר דירקטוריון - שטרן אירית",http://maya.tase.co.il/reports/details/1074248,http://mayafiles.tase.co.il/RHtm/1074001-1075000/H1074248.htm
15,16:39 29/12/2016,גירון פיתוח ,מינוי דירקטור בלתי תלוי-מיכל נוי,http://maya.tase.co.il/reports/details/1074246,http://mayafiles.tase.co.il/RHtm/1074001-1075000/H1074246.htm
16,16:24 29/12/2016,פלסאון תעשיות ,מינוי דירקטור - רובין (אלמה רם) עוגן,http://maya.tase.co.il/reports/details/1074232,http://mayafiles.tase.co.il/RHtm/1074001-1075000/H1074232.htm
17,14:59 29/12/2016,גאון אחזקות ,מינוי דירקטור בלתי תלוי-גרוס דנה רבקה,http://maya.tase.co.il/reports/details/1074155,http://mayafiles.tase.co.il/RHtm/1074001-1075000/H1074155.htm
18,14:51 29/12/2016,גאון אחזקות ,"תוצ' אסיפה כללית מיום 29.12.16, מינוי דירקטורים",http://maya.tase.co.il/reports/details/1074149,http://mayafiles.tase.co.il/RHtm/1074001-1075000/H1074149.htm
19,14:03 29/12/2016,אברבוך ,"תוצ' אסיפה מיום 29.12.16-מינוי חדצ""ים,גמול לדירק'",http://maya.tase.co.il/reports/details/1074127,http://mayafiles.tase.co.il/RHtm/1074001-1075000/H1074127.htm
20,09:16 29/12/2016,מעברות ,מינוי מבקר פנימי-חייקין אילן,http://maya.tase.co.il/reports/details/1073998,http://mayafiles.tase.co.il/RHtm/1073001-1074000/H1073998.htm
21,08:21 29/12/2016,תדאה ,מינוי דירקטור - זאוברמן יצחק,http://maya.tase.co.il/reports/details/1073980,http://mayafiles.tase.co.il/RHtm/1073001-1074000/H1073980.htm
22,07:31 29/12/2016,חממה סחר ,"מינוי דח""צ - פרוז'נסקי סיגל",http://maya.tase.co.il/reports/details/1073966,http://mayafiles.tase.co.il/RHtm/1073001-1074000/H1073966.htm
23,19:09 28/12/2016,"סוהו נדל""ן ",תוצ' אסיפה שנתית מיום 28.12.16-מינוי דירק',http://maya.tase.co.il/reports/details/1073902,http://mayafiles.tase.co.il/RHtm/1073001-1074000/H1073902.htm
24,18:08 28/12/2016,בינלאומי ,הודעה מקדימה על זימון אסיפה שעל סדר יומה בין השאר מינוי דירק',http://maya.tase.co.il/reports/details/1073866,http://mayafiles.tase.co.il/RHtm/1073001-1074000/H1073866.htm
25,17:42 28/12/2016,בינלאומי ,"מינוי יו""ר דירקטוריון - איזקסון אירית",http://maya.tase.co.il/reports/details/1073860,http://mayafiles.tase.co.il/RHtm/1073001-1074000/H1073860.htm
26,11:12 28/12/2016,או.אר.טי. ,"תוצ' אסיפה כללית מ27.12.16-אושר מינוי מחדש של דח""צית",http://maya.tase.co.il/reports/details/1073672,http://mayafiles.tase.co.il/RHtm/1073001-1074000/H1073672.htm
27,14:36 27/12/2016,על בד ,מינוי מבקר פנימי-גיל רוגוז'ינסקי,http://maya.tase.co.il/reports/details/1073469,http://mayafiles.tase.co.il/RHtm/1073001-1074000/H1073469.htm
28,18:05 26/12/2016,וואן טכנולוגיות ,"זימון אסיפה ל-30.1.17-מינוי דח""צ,כתב הצבעה",http://maya.tase.co.il/reports/details/1073306,http://mayafiles.tase.co.il/RHtm/1073001-1074000/H1073306.htm
29,15:52 26/12/2016,דולומיט אחזקות ,מינוי דירקטור - בכור שרה,http://maya.tase.co.il/reports/details/1073247,http://mayafiles.tase.co.il/RHtm/1073001-1074000/H1073247.htm
30,14:15 26/12/2016,בית שמש ,"זימון אסיפה מיוחדת ל-3.1.17-מינוי דח""צ,כ.הצבעה-תיקון מ-22.12.16",http://maya.tase.co.il/reports/details/1073186,http://mayafiles.tase.co.il/RHtm/1073001-1074000/H1073186.htm
31,10:26 26/12/2016,אנדימד ,"אסיפה ב-16.1.17 -מינוי דירק',מינוי רו""ח,שיפוי-משלים מ-12.12",http://maya.tase.co.il/reports/details/1073113,http://mayafiles.tase.co.il/RHtm/1073001-1074000/H1073113.htm
32,09:40 26/12/2016,דולומיט אחזקות ,"אישור הקצאת פרטית לב.שליטה,מינוי דירק,גמול לדירק',שיפוי ",http://maya.tase.co.il/reports/details/1073083,http://mayafiles.tase.co.il/RHtm/1073001-1074000/H1073083.htm
33,11:51 25/12/2016,אפריקה נכסים ,"אסיפה ב31.1.17-הסכם שירותי ניהול עם ב.שליטה,מינוי דח""צ,כ.הצבעה ",http://maya.tase.co.il/reports/details/1072841,http://mayafiles.tase.co.il/RHtm/1072001-1073000/H1072841.htm
34,09:16 25/12/2016,גולף ,מינוי דירקטור - גונן ביבר,http://maya.tase.co.il/reports/details/1072801,http://mayafiles.tase.co.il/RHtm/1072001-1073000/H1072801.htm
35,09:16 25/12/2016,חמת ,"מינוי מנכ""ל-רגרמן רועי",http://maya.tase.co.il/reports/details/1072800,http://mayafiles.tase.co.il/RHtm/1072001-1073000/H1072800.htm
36,09:09 25/12/2016,חמת ,"מינוי נושא משרה-סמנכ""ל כספים-לוי יאיר",http://maya.tase.co.il/reports/details/1072795,http://mayafiles.tase.co.il/RHtm/1072001-1073000/H1072795.htm
37,09:09 25/12/2016,מרחביה אחזקות ,"החלטות דירק'-מינוי רו""ח מבקר חדש,תיקון תקנון,מענק ואופ' לדירק, פטור ושיפוי",http://maya.tase.co.il/reports/details/1072780,http://mayafiles.tase.co.il/RHtm/1072001-1073000/H1072780.htm
38,08:47 25/12/2016,פועלים ,"המפקחת על הבנקים אישרה מינוי עודד ערן כיו""ר הבנק-המשך ",http://maya.tase.co.il/reports/details/1072771,http://mayafiles.tase.co.il/RHtm/1072001-1073000/H1072771.htm
39,20:36 08/01/2017,שיכון ובינוי ,"זימון אסיפה מיוחדת ל-12.2.17-מינוי דח""צ, כתב הצבעה ועוד",http://maya.tase.co.il/reports/details/1076251,http://mayafiles.tase.co.il/RHtm/1076001-1077000/H1076251.htm
40,19:13 08/01/2017,ארנה גרופ ,"מינוי דח""צ - דן לוין",http://maya.tase.co.il/reports/details/1076246,http://mayafiles.tase.co.il/RHtm/1076001-1077000/H1076246.htm
41,17:52 08/01/2017,ארנה גרופ ,"תוצ' אסיפה מ8.1-מד.תגמול,מינוי דח""צ,החזר הוצ' לדירק' מחוץ לישראל(כולל ב.שליטה)",http://maya.tase.co.il/reports/details/1076221,http://mayafiles.tase.co.il/RHtm/1076001-1077000/H1076221.htm
42,12:32 08/01/2017,אינפימר ,"מינוי נושא משרה-סמנכ""ל כספים-מני בתיה",http://maya.tase.co.il/reports/details/1076102,http://mayafiles.tase.co.il/RHtm/1076001-1077000/H1076102.htm
43,08:37 08/01/2017,בריינסוויי ,"מינוי מנכ""ל-מיכלין יעקב",http://maya.tase.co.il/reports/details/1076010,http://mayafiles.tase.co.il/RHtm/1076001-1077000/H1076010.htm
