,date,company_name,action,maya_link,html_link
0,16:47 01/01/2006,אורמת ,"מינוי נושא משרה -סמנכ""ל כספים-יוסף טנא",http://maya.tase.co.il/reports/details/170054,http://mayafiles.tase.co.il/RHtm/170001-171000/H170054.htm
1,15:22 01/01/2006,ירושלים ,מינוי נושא משרה-מנהלת המחלקה המשפטית-שרית ויסטוך,http://maya.tase.co.il/reports/details/170000,http://mayafiles.tase.co.il/RHtm/169001-170000/H170000.htm
2,15:15 01/01/2006,יונידרס ,"מינוי מנכ""ל-סמואל גיורא",http://maya.tase.co.il/reports/details/169994,http://mayafiles.tase.co.il/RHtm/169001-170000/H169994.htm
3,12:58 01/01/2006,פקר-ידפז ,מינוי דירקטור - גליקסברג שאול,http://maya.tase.co.il/reports/details/169901,http://mayafiles.tase.co.il/RHtm/169001-170000/H169901.htm
4,12:36 01/01/2006,ישיר-איי.די.איי ,"מינוי נושא משרה-סמנכ""ל-סעד רענן",http://maya.tase.co.il/reports/details/169887,http://mayafiles.tase.co.il/RHtm/169001-170000/H169887.htm
5,12:35 01/01/2006,זיקה ,מינוי דירקטור - שולמן דותן,http://maya.tase.co.il/reports/details/169886,http://mayafiles.tase.co.il/RHtm/169001-170000/H169886.htm
6,12:30 01/01/2006,אלספק ,מינוי דירקטור חליף- ניר דגן,http://maya.tase.co.il/reports/details/169883,http://mayafiles.tase.co.il/RHtm/169001-170000/H169883.htm
7,11:33 01/01/2006,פלסאון תעשיות ,"מינוי יו""ר דירקטוריון -פלג גרשון",http://maya.tase.co.il/reports/details/169856,http://mayafiles.tase.co.il/RHtm/169001-170000/H169856.htm
8,11:06 01/01/2006,כתר ,מינוי מבקר פנימי-אלקלעי עופר,http://maya.tase.co.il/reports/details/169833,http://mayafiles.tase.co.il/RHtm/169001-170000/H169833.htm
9,10:51 01/01/2006,שניב ,"מינוי דח""צ - שור צבי",http://maya.tase.co.il/reports/details/169819,http://mayafiles.tase.co.il/RHtm/169001-170000/H169819.htm
10,10:48 01/01/2006,שניב ,"מינוי רו""ח-זיו האפט BDO",http://maya.tase.co.il/reports/details/169815,http://mayafiles.tase.co.il/RHtm/169001-170000/H169815.htm
11,10:04 01/01/2006,אןאםסי ,"מינוי נושא משרה -סמנכ""ל כספים-ליפמן חן",http://maya.tase.co.il/reports/details/169778,http://mayafiles.tase.co.il/RHtm/169001-170000/H169778.htm
12,09:10 01/01/2006,גב ים ,מינוי נושא משרה-חשב-ניסן-כהן אילן,http://maya.tase.co.il/reports/details/169716,http://mayafiles.tase.co.il/RHtm/169001-170000/H169716.htm
13,09:05 01/01/2006,גב ים ,מינוי נושא משרה-מנהל כספים-זק מרק,http://maya.tase.co.il/reports/details/169714,http://mayafiles.tase.co.il/RHtm/169001-170000/H169714.htm
14,20:20 29/12/2005,רשף ,מינוי דירקטור - רונן אלון,http://maya.tase.co.il/reports/details/169671,http://mayafiles.tase.co.il/RHtm/169001-170000/H169671.htm
15,19:40 29/12/2005,רשף ,מינוי דירקטור - איזנברג אילנית,http://maya.tase.co.il/reports/details/169663,http://mayafiles.tase.co.il/RHtm/169001-170000/H169663.htm
16,19:03 29/12/2005,אוניברקול ,מינוי דירקטור - גדי  ירקוני,http://maya.tase.co.il/reports/details/169651,http://mayafiles.tase.co.il/RHtm/169001-170000/H169651.htm
17,18:31 29/12/2005,נביעות ,"מינוי דח""צ - קלעי אבנר",http://maya.tase.co.il/reports/details/169636,http://mayafiles.tase.co.il/RHtm/169001-170000/H169636.htm
18,17:44 29/12/2005,רשף ,"מינוי דח""צ - בן ארי שרית",http://maya.tase.co.il/reports/details/169603,http://mayafiles.tase.co.il/RHtm/169001-170000/H169603.htm
19,17:37 29/12/2005,רשף ,"מינוי דח""צ - לארי איציק",http://maya.tase.co.il/reports/details/169594,http://mayafiles.tase.co.il/RHtm/169001-170000/H169594.htm
20,17:25 29/12/2005,רשף ,מינוי דירקטור - ליבנה אלון,http://maya.tase.co.il/reports/details/169578,http://mayafiles.tase.co.il/RHtm/169001-170000/H169578.htm
21,15:40 29/12/2005,ברקן ,מינוי דירקטור - אמיר איל - תיקון דוח,http://maya.tase.co.il/reports/details/169502,http://mayafiles.tase.co.il/RHtm/169001-170000/H169502.htm
22,09:05 29/12/2005,אל על ,"מינוי נושא משרה-סמנכ""ל מכירות עולמי-דנור אורי",http://maya.tase.co.il/reports/details/169313,http://mayafiles.tase.co.il/RHtm/169001-170000/H169313.htm
23,19:56 28/12/2005,שטאנג ,"מינוי יו""ר דירקטוריון - אורי שטאנג",http://maya.tase.co.il/reports/details/169285,http://mayafiles.tase.co.il/RHtm/169001-170000/H169285.htm
24,18:37 28/12/2005,אוקיאנה ,מינוי דירקטור - אבנימלך מיכה,http://maya.tase.co.il/reports/details/169275,http://mayafiles.tase.co.il/RHtm/169001-170000/H169275.htm
25,17:25 28/12/2005,ברימאג דיגיטל ,מינוי מבקר פנימי-מנחם כהן,http://maya.tase.co.il/reports/details/169262,http://mayafiles.tase.co.il/RHtm/169001-170000/H169262.htm
26,17:01 28/12/2005,מ.ל.ל תעשיות תוכנה ומחשבים ,מינוי נושא משרה-ממלא מקום מנהל כללי-מוטי לווינשטיין,http://maya.tase.co.il/reports/details/169244,http://mayafiles.tase.co.il/RHtm/169001-170000/H169244.htm
27,17:00 28/12/2005,מ.ל.ל תעשיות תוכנה ומחשבים ,"מינוי נושא משרה-יו""ר דירק' וממלא מקום מנהל כללי-נתנאל עזי",http://maya.tase.co.il/reports/details/169248,http://mayafiles.tase.co.il/RHtm/169001-170000/H169248.htm
28,13:49 28/12/2005,תים מחשבים ומערכות ,מינוי מבקר פנימי-כהן דורון,http://maya.tase.co.il/reports/details/169164,http://mayafiles.tase.co.il/RHtm/169001-170000/H169164.htm
29,12:27 28/12/2005,ניו קופל ,מינוי דירקטור - יעקב אלינב,http://maya.tase.co.il/reports/details/169138,http://mayafiles.tase.co.il/RHtm/169001-170000/H169138.htm
