,date,company_name,action,maya_link,html_link
0,20:24 01/01/2009,ישרס ,"מינוי נושא משרה - סמנכ""ל הנדסה-שרגא גרניצה-תיקון דוח",http://maya.tase.co.il/reports/details/416761,http://mayafiles.tase.co.il/RHtm/416001-417000/H416761.htm
1,20:23 01/01/2009,גאון אחזקות ,"מינוי נושא משרה-סמנכ""ל מיזוגים ורכישות-משגב משה",http://maya.tase.co.il/reports/details/416760,http://mayafiles.tase.co.il/RHtm/416001-417000/H416760.htm
2,20:07 01/01/2009,בית הזהב ,מינוי מבקר פנימי-רוזנבלום דורון,http://maya.tase.co.il/reports/details/416750,http://mayafiles.tase.co.il/RHtm/416001-417000/H416750.htm
3,20:04 01/01/2009,ישרס ,"מינוי נושא משרה-סמנכ""ל הנדסה-שרגא גרניצה",http://maya.tase.co.il/reports/details/416749,http://mayafiles.tase.co.il/RHtm/416001-417000/H416749.htm
4,18:22 01/01/2009,ברן ,מינוי נושא משרה-בקר חטיבת התקשורת-רביב אביאל,http://maya.tase.co.il/reports/details/416707,http://mayafiles.tase.co.il/RHtm/416001-417000/H416707.htm
5,17:47 01/01/2009,ברן ,"מינוי נושא משרה-מ""מ מנכ""ל-דור מאיר",http://maya.tase.co.il/reports/details/416679,http://mayafiles.tase.co.il/RHtm/416001-417000/H416679.htm
6,17:20 01/01/2009,קו מנחה ,"מינוי נושא משרה-סמנכ""ל פיתוח-טופול עמרי",http://maya.tase.co.il/reports/details/416656,http://mayafiles.tase.co.il/RHtm/416001-417000/H416656.htm
7,16:30 01/01/2009,אפריקה תעשיות ,"מינוי נושא משרה-סמנכ""ל כספים-אלון הרפז ",http://maya.tase.co.il/reports/details/416631,http://mayafiles.tase.co.il/RHtm/416001-417000/H416631.htm
8,14:37 01/01/2009,דלק קבוצה ,"מינוי דח""צ - יוסף דאובר",http://maya.tase.co.il/reports/details/416524,http://mayafiles.tase.co.il/RHtm/416001-417000/H416524.htm
9,14:16 01/01/2009,אדרי-אל ,"זימון אסיפה ל8.1,מינוי דחצ,הסמכת אדרי כיו""ר דירק'+מנכל-תיקון",http://maya.tase.co.il/reports/details/416511,http://mayafiles.tase.co.il/RHtm/416001-417000/H416511.htm
