,date,company_name,action,maya_link,html_link
0,20:54 30/12/2004,טים די.סי.אל ,מינוי נושא משרה-מזכיר-ויקטור תשובה,http://maya.tase.co.il/reports/details/122137,http://mayafiles.tase.co.il/RHtm/122001-123000/H122137.htm
1,20:51 30/12/2004,טים די.סי.אל ,מינוי דירקטור - ז'קלין הרשקוביץ,http://maya.tase.co.il/reports/details/122136,http://mayafiles.tase.co.il/RHtm/122001-123000/H122136.htm
2,20:10 30/12/2004,טים די.סי.אל ,מינוי דירקטור - יהושע הרשקוביץ,http://maya.tase.co.il/reports/details/122132,http://mayafiles.tase.co.il/RHtm/122001-123000/H122132.htm
3,16:52 30/12/2004,איטונג ,מינוי דירקטור - שצ'לקה נועם,http://maya.tase.co.il/reports/details/122097,http://mayafiles.tase.co.il/RHtm/122001-123000/H122097.htm
4,13:08 30/12/2004,הפניקס ,"מינוי מנכ""ל - שפי יהלי",http://maya.tase.co.il/reports/details/122001,http://mayafiles.tase.co.il/RHtm/122001-123000/H122001.htm
5,13:02 30/12/2004,טוביאס ,מינוי מבקר פנימי - בן-דור יואב,http://maya.tase.co.il/reports/details/121999,http://mayafiles.tase.co.il/RHtm/121001-122000/H121999.htm
6,12:13 30/12/2004,אדנים ,מינוי דירקטור - יפה קול - תיקון דוח,http://maya.tase.co.il/reports/details/121988,http://mayafiles.tase.co.il/RHtm/121001-122000/H121988.htm
7,11:44 30/12/2004,ולטר רוזנטל ,"מינוי רו""ח - אונגר, כהן ושות רואה חשבון",http://maya.tase.co.il/reports/details/121979,http://mayafiles.tase.co.il/RHtm/121001-122000/H121979.htm
8,11:16 30/12/2004,אדנים ,מינוי דירקטור - רוזנבלום חנוך - תיקון דוח,http://maya.tase.co.il/reports/details/121973,http://mayafiles.tase.co.il/RHtm/121001-122000/H121973.htm
9,11:00 30/12/2004,עשות ,מינוי דירקטור - קראוס-שחר דורית,http://maya.tase.co.il/reports/details/121969,http://mayafiles.tase.co.il/RHtm/121001-122000/H121969.htm
10,09:40 30/12/2004,מלם ,מינוי נושא משרה - מנהלת חטיבה - אלי אחי-מרדכי,http://maya.tase.co.il/reports/details/121917,http://mayafiles.tase.co.il/RHtm/121001-122000/H121917.htm
11,09:40 30/12/2004,מלם ,מינוי נושא משרה - מנהלת משאבי אנוש - רונית לביא,http://maya.tase.co.il/reports/details/121918,http://mayafiles.tase.co.il/RHtm/121001-122000/H121918.htm
12,09:15 30/12/2004,מלונות אפריקה ,מינוי נושא משרה -חשב -בבס ליאור,http://maya.tase.co.il/reports/details/121936,http://mayafiles.tase.co.il/RHtm/121001-122000/H121936.htm
13,08:12 30/12/2004,מנדלסון ,"זימון אסיפה כללית ליום 21.1.05, מינוי רו""ח ",http://maya.tase.co.il/reports/details/121921,http://mayafiles.tase.co.il/RHtm/121001-122000/H121921.htm
14,21:56 29/12/2004,מלם ,"מינוי דח""צ - ניוטון ענבר",http://maya.tase.co.il/reports/details/121919,http://mayafiles.tase.co.il/RHtm/121001-122000/H121919.htm
15,19:54 29/12/2004,תדיר גן ,"מינוי נושא משרה -משנה למנכ""ל -שי איילון",http://maya.tase.co.il/reports/details/121906,http://mayafiles.tase.co.il/RHtm/121001-122000/H121906.htm
16,16:51 29/12/2004,צמיחה ,"מינוי דח""צ - שלג עמיר",http://maya.tase.co.il/reports/details/121888,http://mayafiles.tase.co.il/RHtm/121001-122000/H121888.htm
17,16:33 29/12/2004,צמיחה ,"מינוי דח""צ - נדן יצחק",http://maya.tase.co.il/reports/details/121879,http://mayafiles.tase.co.il/RHtm/121001-122000/H121879.htm
18,16:22 29/12/2004,אלוני תשלובת ,מינוי דירקטור - נועם שצ'לקה,http://maya.tase.co.il/reports/details/121874,http://mayafiles.tase.co.il/RHtm/121001-122000/H121874.htm
19,16:17 29/12/2004,אלוני תשלובת ,"מינוי יו""ר דירקטוריון - אביגדור קלנר",http://maya.tase.co.il/reports/details/121872,http://mayafiles.tase.co.il/RHtm/121001-122000/H121872.htm
20,15:48 29/12/2004,מי עדן ,"מינוי מנכ""ל - בן ארצי ליאור",http://maya.tase.co.il/reports/details/121865,http://mayafiles.tase.co.il/RHtm/121001-122000/H121865.htm
21,14:56 29/12/2004,אדנים ,מינוי דירקטור - יפה קול,http://maya.tase.co.il/reports/details/121853,http://mayafiles.tase.co.il/RHtm/121001-122000/H121853.htm
22,14:37 29/12/2004,אדנים ,מינוי דירקטור - רוזנבלום חנוך,http://maya.tase.co.il/reports/details/121850,http://mayafiles.tase.co.il/RHtm/121001-122000/H121850.htm
23,14:13 29/12/2004,אדנים ,מינוי דירקטור - גל שמעון,http://maya.tase.co.il/reports/details/121846,http://mayafiles.tase.co.il/RHtm/121001-122000/H121846.htm
24,11:25 29/12/2004,קיסריה ,"מינוי דח""צ - ולנשטין נתאי",http://maya.tase.co.il/reports/details/121798,http://mayafiles.tase.co.il/RHtm/121001-122000/H121798.htm
25,15:25 28/12/2004,אופטימה ,מינוי מבקר פנימי - זבליק רונן,http://maya.tase.co.il/reports/details/121727,http://mayafiles.tase.co.il/RHtm/121001-122000/H121727.htm
26,14:57 28/12/2004,קידרון אחזקות ,מינוי מבקר פנימי - עופר אורליצקי,http://maya.tase.co.il/reports/details/121719,http://mayafiles.tase.co.il/RHtm/121001-122000/H121719.htm
27,14:24 28/12/2004,ספקטרוניקס ,"מינוי נושא משרה-משנה למנכ""ל-ויקוס עופר",http://maya.tase.co.il/reports/details/121711,http://mayafiles.tase.co.il/RHtm/121001-122000/H121711.htm
