,date,company_name,action,maya_link,html_link
0,12:38 01/01/2010,ברן ,"מינוי נושא משרה-סמנכ""ל בכיר וחבר הנהלה-זייד שרון חנן",http://maya.tase.co.il/reports/details/501349,http://mayafiles.tase.co.il/RHtm/501001-502000/H501349.htm
1,12:13 01/01/2010,ברן ,"מינוי נושא משרה-סמנכ""ל וחבר הנהלה-לשם אבי",http://maya.tase.co.il/reports/details/501348,http://mayafiles.tase.co.il/RHtm/501001-502000/H501348.htm
2,09:29 01/01/2010,דיסקונט ,"מינוי דירקטור - ד""ר יוסף בכר",http://maya.tase.co.il/reports/details/501341,http://mayafiles.tase.co.il/RHtm/501001-502000/H501341.htm
3,19:49 31/12/2009,נביעות ,מינוי נושא משרה-מנהל כספים-קורלנד עמית,http://maya.tase.co.il/reports/details/501310,http://mayafiles.tase.co.il/RHtm/501001-502000/H501310.htm
4,17:54 31/12/2009,מטי ,"תוצ' אסיפה כללית מ-31.12.09, מינוי דח""צ",http://maya.tase.co.il/reports/details/501240,http://mayafiles.tase.co.il/RHtm/501001-502000/H501240.htm
5,16:37 31/12/2009,גולקס ,מינוי דירקטור-מיכאל ברמן - תיקון דוח מ-29.12.09,http://maya.tase.co.il/reports/details/501166,http://mayafiles.tase.co.il/RHtm/501001-502000/H501166.htm
6,16:14 31/12/2009,סינופסיס ,"מינוי דח""צ - גיורא מרטינוביץ",http://maya.tase.co.il/reports/details/501149,http://mayafiles.tase.co.il/RHtm/501001-502000/H501149.htm
7,16:09 31/12/2009,סינופסיס ,"מינוי דח""צ - ערן שנער",http://maya.tase.co.il/reports/details/501145,http://mayafiles.tase.co.il/RHtm/501001-502000/H501145.htm
8,16:03 31/12/2009,סינופסיס ,"תוצ' אסיפה כללית מ-31.12.09, מינוי דח""צ ",http://maya.tase.co.il/reports/details/501142,http://mayafiles.tase.co.il/RHtm/501001-502000/H501142.htm
9,15:16 31/12/2009,שנפ ,מינוי נושא משרה-מנהל שיווק ומכירות-פרשטמן אבי ,http://maya.tase.co.il/reports/details/501080,http://mayafiles.tase.co.il/RHtm/501001-502000/H501080.htm
10,13:32 31/12/2009,מר ,"תוצ' אסיפה מ-31.12.09, מינוי דח""צ, ביטוח אחריות, הקצאה פרטית",http://maya.tase.co.il/reports/details/501030,http://mayafiles.tase.co.il/RHtm/501001-502000/H501030.htm
11,11:24 31/12/2009,גב ים ,מינוי דירקטור - רבינוביץ ארנון,http://maya.tase.co.il/reports/details/500934,http://mayafiles.tase.co.il/RHtm/500001-501000/H500934.htm
12,19:45 30/12/2009,אלרוב ישראל ,"מינוי דח""צ - גולדמן בולסלב",http://maya.tase.co.il/reports/details/500781,http://mayafiles.tase.co.il/RHtm/500001-501000/H500781.htm
13,19:25 30/12/2009,אלרוב ישראל ,"תוצ' אסיפה מ-30.12.09, מינוי פרופ' גולדמן כדח""צ ותנאי כהונתו",http://maya.tase.co.il/reports/details/500777,http://mayafiles.tase.co.il/RHtm/500001-501000/H500777.htm
14,17:41 30/12/2009,קו מנחה ,"מינוי יו""ר דירקטוריון - קרלוס בגס",http://maya.tase.co.il/reports/details/500739,http://mayafiles.tase.co.il/RHtm/500001-501000/H500739.htm
15,16:07 30/12/2009,אדלר השקעות ,"תוצ' אסיפה כללית מיום 30.12.09, מינוי דירקטורים",http://maya.tase.co.il/reports/details/500675,http://mayafiles.tase.co.il/RHtm/500001-501000/H500675.htm
16,15:06 30/12/2009,בלופניקס ,"תוצ' אסיפה כללית מ-30.12,מינויים,הגדלת הון רשום,תיקון תקנון",http://maya.tase.co.il/reports/details/500598,http://mayafiles.tase.co.il/RHtm/500001-501000/H500598.htm
17,14:55 30/12/2009,אזימוט טכנו ,"תוצ' אסיפה כללית מ-30.12, מינוי דח""צ ואישור גמולים ",http://maya.tase.co.il/reports/details/500589,http://mayafiles.tase.co.il/RHtm/500001-501000/H500589.htm
18,13:46 30/12/2009,מהדרין ,מינוי דירקטור - אידלסון אבי,http://maya.tase.co.il/reports/details/500541,http://mayafiles.tase.co.il/RHtm/500001-501000/H500541.htm
19,13:28 30/12/2009,אוהה ,"תוצ' אסיפה מ-30.12.09, מינוי דירקטורים, ביטוח",http://maya.tase.co.il/reports/details/500526,http://mayafiles.tase.co.il/RHtm/500001-501000/H500526.htm
20,10:48 30/12/2009,פירסט אס.בי.אס ,מינוי דירקטור-בתיה - צירוף הצהרת דירקטור,http://maya.tase.co.il/reports/details/500423,http://mayafiles.tase.co.il/RHtm/500001-501000/H500423.htm
21,10:44 30/12/2009,פירסט אס.בי.אס ,מינוי דירקטור - ירון - תיקון דוח מיום 30.12.09,http://maya.tase.co.il/reports/details/500421,http://mayafiles.tase.co.il/RHtm/500001-501000/H500421.htm
22,09:54 30/12/2009,אפליסוניקס ,"מינוי נושא משרה-סמנכ""ל שיווק ומכירות-יאיר לאופולד ",http://maya.tase.co.il/reports/details/500378,http://mayafiles.tase.co.il/RHtm/500001-501000/H500378.htm
23,07:52 30/12/2009,יולי הון ,מינוי דירקטור - הרלב דפנה,http://maya.tase.co.il/reports/details/500300,http://mayafiles.tase.co.il/RHtm/500001-501000/H500300.htm
24,04:43 30/12/2009,פירסט אס.בי.אס ,מינוי דירקטור - בתיה,http://maya.tase.co.il/reports/details/500319,http://mayafiles.tase.co.il/RHtm/500001-501000/H500319.htm
25,04:41 30/12/2009,פירסט אס.בי.אס ,מינוי דירקטור - ירון,http://maya.tase.co.il/reports/details/500318,http://mayafiles.tase.co.il/RHtm/500001-501000/H500318.htm
26,19:56 29/12/2009,יולי הון ,מינוי דירקטור - שקד לירון,http://maya.tase.co.il/reports/details/500304,http://mayafiles.tase.co.il/RHtm/500001-501000/H500304.htm
27,19:55 29/12/2009,יולי הון ,מינוי דירקטור - שנקר בריאר סנדרה,http://maya.tase.co.il/reports/details/500303,http://mayafiles.tase.co.il/RHtm/500001-501000/H500303.htm
28,19:54 29/12/2009,יולי הון ,מינוי דירקטור - אלוני יפתח,http://maya.tase.co.il/reports/details/500302,http://mayafiles.tase.co.il/RHtm/500001-501000/H500302.htm
29,19:53 29/12/2009,יולי הון ,מינוי דירקטור - לב ארי איל,http://maya.tase.co.il/reports/details/500301,http://mayafiles.tase.co.il/RHtm/500001-501000/H500301.htm
30,19:49 29/12/2009,יולי הון ,מינוי דירקטור - אביב דורון,http://maya.tase.co.il/reports/details/500299,http://mayafiles.tase.co.il/RHtm/500001-501000/H500299.htm
31,19:18 29/12/2009,שניב ,מינוי נושא משרה-חשב-לסל איל ,http://maya.tase.co.il/reports/details/500283,http://mayafiles.tase.co.il/RHtm/500001-501000/H500283.htm
32,18:29 29/12/2009,גולקס ,מינוי דירקטור - דניאל צ'ין,http://maya.tase.co.il/reports/details/500259,http://mayafiles.tase.co.il/RHtm/500001-501000/H500259.htm
33,18:28 29/12/2009,פלסטופיל ,מינוי דירקטור - אפרת קטן,http://maya.tase.co.il/reports/details/500258,http://mayafiles.tase.co.il/RHtm/500001-501000/H500258.htm
34,18:26 29/12/2009,פלסטופיל ,מינוי דירקטור - בר אסף,http://maya.tase.co.il/reports/details/500256,http://mayafiles.tase.co.il/RHtm/500001-501000/H500256.htm
35,18:26 29/12/2009,גולקס ,מינוי דירקטור - ניל כהן,http://maya.tase.co.il/reports/details/500255,http://mayafiles.tase.co.il/RHtm/500001-501000/H500255.htm
36,18:20 29/12/2009,גולקס ,מינוי דירקטור - מיכאל ברמן,http://maya.tase.co.il/reports/details/500251,http://mayafiles.tase.co.il/RHtm/500001-501000/H500251.htm
37,17:54 29/12/2009,גולקס ,מינוי דירקטור - אסף איל,http://maya.tase.co.il/reports/details/500238,http://mayafiles.tase.co.il/RHtm/500001-501000/H500238.htm
38,17:33 29/12/2009,גולקס ,מינוי דירקטור - אברהם גליקסמן,http://maya.tase.co.il/reports/details/500225,http://mayafiles.tase.co.il/RHtm/500001-501000/H500225.htm
39,15:50 29/12/2009,יונידרס ,מינוי מבקר פנימי- סלמן רוחמה,http://maya.tase.co.il/reports/details/500143,http://mayafiles.tase.co.il/RHtm/500001-501000/H500143.htm
40,15:39 29/12/2009,וורלד קפיטל ,"צו פירוק לחברה, הכנ""ר ישמש כמפרק זמני עד למינוי מפרק קבוע",http://maya.tase.co.il/reports/details/500129,http://mayafiles.tase.co.il/RHtm/500001-501000/H500129.htm
41,12:52 29/12/2009,הוט ,"מינוי נושא משרה-סמנכ""ל תוכן ורגולציה- יורם מוקדי ",http://maya.tase.co.il/reports/details/500059,http://mayafiles.tase.co.il/RHtm/500001-501000/H500059.htm
42,11:05 29/12/2009,דיסקונט ,תוצ' אסיפה כללית מיום 29.12.09-מינוי דירקטור ,http://maya.tase.co.il/reports/details/500001,http://mayafiles.tase.co.il/RHtm/500001-501000/H500001.htm
43,10:43 29/12/2009,פלייט מדיקל ,מינוי מבקר פנימי-עובדיה אריה,http://maya.tase.co.il/reports/details/499989,http://mayafiles.tase.co.il/RHtm/499001-500000/H499989.htm
44,00:10 29/12/2009,בזק ,"זימון אסיפה כללית ל-4.2.10, מינוי דח""צ, כתב הצבעה",http://maya.tase.co.il/reports/details/499919,http://mayafiles.tase.co.il/RHtm/499001-500000/H499919.htm
45,18:06 28/12/2009,הכשרה חב לביטוח ,"מינוי נושא משרה-סמנכ""ל מערכות מידע-שפר אבלזון",http://maya.tase.co.il/reports/details/499841,http://mayafiles.tase.co.il/RHtm/499001-500000/H499841.htm
46,17:52 28/12/2009,הכשרה חב לביטוח ,"מינוי נושא משרה-סמנכ""ל משאבי אנוש ולוגיסטיקה-בשן אודליה",http://maya.tase.co.il/reports/details/499827,http://mayafiles.tase.co.il/RHtm/499001-500000/H499827.htm
47,16:37 28/12/2009,כלנית כרמון ,"מינוי דח""צ - גרדמן שלמה",http://maya.tase.co.il/reports/details/499754,http://mayafiles.tase.co.il/RHtm/499001-500000/H499754.htm
48,16:05 28/12/2009,בינלאומי ,מינוי דירקטור - דיין מאיר - דוח משלים,http://maya.tase.co.il/reports/details/499734,http://mayafiles.tase.co.il/RHtm/499001-500000/H499734.htm
49,15:50 28/12/2009,קבוצת כרמל ,"מינוי נושא משרה-סמנכ""ל כספים -שוקי שמואל צוקרן",http://maya.tase.co.il/reports/details/499725,http://mayafiles.tase.co.il/RHtm/499001-500000/H499725.htm
50,12:00 28/12/2009,מדיקל קומפרישין ,מינוי דירקטור חליף - מנחם ענבר,http://maya.tase.co.il/reports/details/499580,http://mayafiles.tase.co.il/RHtm/499001-500000/H499580.htm
51,11:04 28/12/2009,פיננסיטק ,מינוי מבקר פנימי-דן רבין,http://maya.tase.co.il/reports/details/499523,http://mayafiles.tase.co.il/RHtm/499001-500000/H499523.htm
52,10:26 28/12/2009,טופ מערכות ,מינוי מבקר פנימי-סולטן גיל ,http://maya.tase.co.il/reports/details/499480,http://mayafiles.tase.co.il/RHtm/499001-500000/H499480.htm
53,09:16 28/12/2009,וילי פוד ,"תוצ' אסיפה מ- 27.12.09- מינוי דירק', מינוי רו""ח,שיפוי וביטוח",http://maya.tase.co.il/reports/details/499422,http://mayafiles.tase.co.il/RHtm/499001-500000/H499422.htm
54,08:34 28/12/2009,הוט ,מינוי דירקטור - גואי דקסטר,http://maya.tase.co.il/reports/details/499396,http://mayafiles.tase.co.il/RHtm/499001-500000/H499396.htm
55,18:14 27/12/2009,מבט סל ,"מינוי נושא משרה-סמנכ""ל ניהול סיכונים ופיתוח -דוזורצב אלכסנדר",http://maya.tase.co.il/reports/details/499341,http://mayafiles.tase.co.il/RHtm/499001-500000/H499341.htm
56,18:12 27/12/2009,מבט סל ,מינוי דירקטור - עמית הררי,http://maya.tase.co.il/reports/details/499338,http://mayafiles.tase.co.il/RHtm/499001-500000/H499338.htm
57,18:07 27/12/2009,מבט פיננסים ,"מינוי נושא משרה-סמנכ""ל ניהול סיכונים ופיתוח -דוזורצב אלכסנדר",http://maya.tase.co.il/reports/details/499335,http://mayafiles.tase.co.il/RHtm/499001-500000/H499335.htm
58,18:06 27/12/2009,"אלרוב נדל""ן ","זימון אסיפה ל-27.1.10, מינוי דח""צ, כתב הצבעה-תיקון ",http://maya.tase.co.il/reports/details/499334,http://mayafiles.tase.co.il/RHtm/499001-500000/H499334.htm
59,18:06 27/12/2009,מבט פיננסים ,מינוי דירקטור - עמית הררי,http://maya.tase.co.il/reports/details/499333,http://mayafiles.tase.co.il/RHtm/499001-500000/H499333.htm
60,17:56 27/12/2009,מבט בינלאומי ,"מינוי נושא משרה-סמנכ""ל ניהול סיכונים ופיתוח -דוזורצב אלכסנדר",http://maya.tase.co.il/reports/details/499328,http://mayafiles.tase.co.il/RHtm/499001-500000/H499328.htm
61,17:55 27/12/2009,מבט בינלאומי ,מינוי דירקטור - עמית הררי,http://maya.tase.co.il/reports/details/499326,http://mayafiles.tase.co.il/RHtm/499001-500000/H499326.htm
62,17:50 27/12/2009,"מבט חו""ל ","מינוי נושא משרה-סמנכ""ל ניהול סיכונים ופיתוח -דוזורצב אלכסנדר",http://maya.tase.co.il/reports/details/499321,http://mayafiles.tase.co.il/RHtm/499001-500000/H499321.htm
63,17:48 27/12/2009,"מבט חו""ל ",מינוי דירקטור - עמית הררי,http://maya.tase.co.il/reports/details/499320,http://mayafiles.tase.co.il/RHtm/499001-500000/H499320.htm
