,date,company_name,action,maya_link,html_link
0,09:19 01/01/2016,אינסוליין ,"תוצ' אסיפה כללית מיום 31.12.15, מינוי דירקטורים",http://maya.tase.co.il/reports/details/1012183,http://mayafiles.tase.co.il/RHtm/1012001-1013000/H1012183.htm
1,09:01 01/01/2016,חוף גיא ,מינוי דירקטור בלתי תלוי-גולן גדעון,http://maya.tase.co.il/reports/details/1012180,http://mayafiles.tase.co.il/RHtm/1012001-1013000/H1012180.htm
2,08:43 01/01/2016,חוף גיא ,"מינוי רו""ח-גיא, גופר, יהב, גילמן, אודם ושות'",http://maya.tase.co.il/reports/details/1012177,http://mayafiles.tase.co.il/RHtm/1012001-1013000/H1012177.htm
3,21:49 31/12/2015,מעין ונצ'ורס ,"מינוי מנכ""ל-ססובר דב",http://maya.tase.co.il/reports/details/1012171,http://mayafiles.tase.co.il/RHtm/1012001-1013000/H1012171.htm
4,19:17 31/12/2015,כלל עסקי ביטוח ,מינוי דירקטור - אברהם קנובל,http://maya.tase.co.il/reports/details/1012154,http://mayafiles.tase.co.il/RHtm/1012001-1013000/H1012154.htm
5,19:15 31/12/2015,כלל עסקי ביטוח ,מינוי דירקטור - חנה מזל (מלי) מרגליות,http://maya.tase.co.il/reports/details/1012153,http://mayafiles.tase.co.il/RHtm/1012001-1013000/H1012153.htm
6,19:14 31/12/2015,כלל עסקי ביטוח ,מינוי דירקטור - אלשיך ורדה,http://maya.tase.co.il/reports/details/1012152,http://mayafiles.tase.co.il/RHtm/1012001-1013000/H1012152.htm
7,19:08 31/12/2015,כלל עסקי ביטוח ,"תוצ' אסיפה כללית מ-31.12.15, מינוי דירטורים, מינוי מחדש יו""ר",http://maya.tase.co.il/reports/details/1012145,http://mayafiles.tase.co.il/RHtm/1012001-1013000/H1012145.htm
8,18:26 31/12/2015,נכסים ובנין ,"תוצ' אסיפה כללית מיום 31.12.15, מינוי דירקטורים",http://maya.tase.co.il/reports/details/1012128,http://mayafiles.tase.co.il/RHtm/1012001-1013000/H1012128.htm
9,17:43 31/12/2015,חשמל ,"מינוי נושא משרה-סמנכ""ל כספים וכלכלה-ויטשמן אברהם",http://maya.tase.co.il/reports/details/1012093,http://mayafiles.tase.co.il/RHtm/1012001-1013000/H1012093.htm
10,17:39 31/12/2015,אנליסט ,"מינוי דח""צ - מיכאל גלאי",http://maya.tase.co.il/reports/details/1012091,http://mayafiles.tase.co.il/RHtm/1012001-1013000/H1012091.htm
11,16:46 31/12/2015,אלעזרא ,מינוי מבקר פנימי-אלעד יריב,http://maya.tase.co.il/reports/details/1012049,http://mayafiles.tase.co.il/RHtm/1012001-1013000/H1012049.htm
12,15:01 31/12/2015,אנליסט ,מינוי נושא משרה-מנהלת תחום סוכנים-מטיס רונית,http://maya.tase.co.il/reports/details/1011958,http://mayafiles.tase.co.il/RHtm/1011001-1012000/H1011958.htm
13,14:35 31/12/2015,תדביק ,"מינוי נושא משרה-סמנכ""ל כספים-דב פלדמן",http://maya.tase.co.il/reports/details/1011944,http://mayafiles.tase.co.il/RHtm/1011001-1012000/H1011944.htm
14,14:00 31/12/2015,תפרון ,"מינוי רו""ח-בריטמן אלמגור ",http://maya.tase.co.il/reports/details/1011916,http://mayafiles.tase.co.il/RHtm/1011001-1012000/H1011916.htm
15,13:08 31/12/2015,תדיר גן ,מינוי נושא משרה-ארז קרסנטי,http://maya.tase.co.il/reports/details/1011882,http://mayafiles.tase.co.il/RHtm/1011001-1012000/H1011882.htm
16,13:02 31/12/2015,נקסט ג'ן-ש ,"מינוי דח""צ - ארד יוסי",http://maya.tase.co.il/reports/details/1011879,http://mayafiles.tase.co.il/RHtm/1011001-1012000/H1011879.htm
17,12:44 31/12/2015,דלק אנרגיה ,מינוי מבקר פנימי-גנה גלי,http://maya.tase.co.il/reports/details/1011870,http://mayafiles.tase.co.il/RHtm/1011001-1012000/H1011870.htm
18,10:36 31/12/2015,המלט ,מינוי דירקטור - אולינר אורי  - תיקון דוח מיום 31.12.15,http://maya.tase.co.il/reports/details/1011801,http://mayafiles.tase.co.il/RHtm/1011001-1012000/H1011801.htm
19,09:25 31/12/2015,מיטרוניקס ,"מינוי נושא משרה-סמנכ""ל איכות- יניב תמר",http://maya.tase.co.il/reports/details/1011772,http://mayafiles.tase.co.il/RHtm/1011001-1012000/H1011772.htm
