,date,company_name,action,maya_link,html_link
0,19:03 01/01/2015,רציו מימון ,מינוי דירקטור - רוטלוי יאיר,http://maya.tase.co.il/reports/details/941706,http://mayafiles.tase.co.il/RHtm/941001-942000/H941706.htm
1,19:02 01/01/2015,רציו מימון ,מינוי דירקטור - לנדאו יובל,http://maya.tase.co.il/reports/details/941703,http://mayafiles.tase.co.il/RHtm/941001-942000/H941703.htm
2,18:49 01/01/2015,רציו מימון ,"מינוי דח""צ - אוטולנגי פלורנטין תרצה",http://maya.tase.co.il/reports/details/941696,http://mayafiles.tase.co.il/RHtm/941001-942000/H941696.htm
3,18:47 01/01/2015,רציו מימון ,"מינוי דח""צ - טננבאום יעקב",http://maya.tase.co.il/reports/details/941694,http://mayafiles.tase.co.il/RHtm/941001-942000/H941694.htm
4,18:45 01/01/2015,רציו מימון ,מינוי דירקטור בלתי תלוי-טנא יוסף,http://maya.tase.co.il/reports/details/941688,http://mayafiles.tase.co.il/RHtm/941001-942000/H941688.htm
5,18:39 01/01/2015,איתי פיננסים ,"מינוי יו""ר דירקטוריון - פודים יאיר",http://maya.tase.co.il/reports/details/941675,http://mayafiles.tase.co.il/RHtm/941001-942000/H941675.htm
6,17:33 01/01/2015,מזרחי טפחות ,"מינוי נ.משרה-יועמ""ש ראשית,מנהלת חטיבה-פרידמן רחלי",http://maya.tase.co.il/reports/details/941652,http://mayafiles.tase.co.il/RHtm/941001-942000/H941652.htm
7,17:22 01/01/2015,מדיפאואר ,"מינוי דח""צ - טל מיש ורד",http://maya.tase.co.il/reports/details/941651,http://mayafiles.tase.co.il/RHtm/941001-942000/H941651.htm
8,17:18 01/01/2015,מדיפאואר ,"תוצ' אסיפה מיום 1.1.15, אושר מינוי דח""צ",http://maya.tase.co.il/reports/details/941650,http://mayafiles.tase.co.il/RHtm/941001-942000/H941650.htm
9,16:38 01/01/2015,הוט ,"מינוי נושא משרה-משנה לסמנכ""ל כספים וחשבת-דליה ברגמן",http://maya.tase.co.il/reports/details/941642,http://mayafiles.tase.co.il/RHtm/941001-942000/H941642.htm
10,16:09 01/01/2015,חשמל ,"מינוי יצחק בלמס כסמנכל לקוחות חלף יעקב חאין, המשך 1.1.15",http://maya.tase.co.il/reports/details/941608,http://mayafiles.tase.co.il/RHtm/941001-942000/H941608.htm
11,15:56 01/01/2015,אספן גרופ ,מינוי נושא משרה - קנוט הכברט אברהם-תיקון דוח,http://maya.tase.co.il/reports/details/941612,http://mayafiles.tase.co.il/RHtm/941001-942000/H941612.htm
12,15:35 01/01/2015,דירקט קפיטל-ש ,מינוי דירקטור - מיטל ערן - תיקון כמות המניות,http://maya.tase.co.il/reports/details/941589,http://mayafiles.tase.co.il/RHtm/941001-942000/H941589.htm
13,14:32 01/01/2015,וילאר ,"מינוי יו""ר דירקטוריון - דוד מימון",http://maya.tase.co.il/reports/details/941504,http://mayafiles.tase.co.il/RHtm/941001-942000/H941504.htm
14,14:07 01/01/2015,אספן גרופ ,"מינוי סמנכ""ל פיתוח עסקי -קנוט הכברט אברהם-תיקון דוח",http://maya.tase.co.il/reports/details/941482,http://mayafiles.tase.co.il/RHtm/941001-942000/H941482.htm
15,14:05 01/01/2015,דורי קבוצה ,מינוי נושא משרה - חשב  - וישנוביצקי רועי,http://maya.tase.co.il/reports/details/941480,http://mayafiles.tase.co.il/RHtm/941001-942000/H941480.htm
16,14:01 01/01/2015,ליבנטל ,"זימון אסיפה כללית ל-8.2.15-מינוי דח""צ,גמול לדירק',כתב הצבעה",http://maya.tase.co.il/reports/details/941460,http://mayafiles.tase.co.il/RHtm/941001-942000/H941460.htm
