,date,company_name,action,maya_link,html_link
0,22:18 01/01/2017,אוהה ,הנהלה ונושאי משרה-מצבת ליום 1.1.17,http://maya.tase.co.il/reports/details/1074730,http://mayafiles.tase.co.il/RHtm/1074001-1075000/H1074730.htm
1,17:53 01/01/2017,חילן ,הנהלה ונושאי משרה-מצבת ליום 1.1.17,http://maya.tase.co.il/reports/details/1074696,http://mayafiles.tase.co.il/RHtm/1074001-1075000/H1074696.htm
2,15:36 01/01/2017,הוט ,הנהלה ונושאי משרה-מצבת ליום 1.1.17,http://maya.tase.co.il/reports/details/1074652,http://mayafiles.tase.co.il/RHtm/1074001-1075000/H1074652.htm
3,14:08 01/01/2017,גבעות יהש ,הנהלה ונושאי משרה-מצבת ליום 1.1.17,http://maya.tase.co.il/reports/details/1074598,http://mayafiles.tase.co.il/RHtm/1074001-1075000/H1074598.htm
4,12:46 01/01/2017,אנרג'יקס ,הנהלה ונושאי משרה-מצבת ליום 1.1.17,http://maya.tase.co.il/reports/details/1074559,http://mayafiles.tase.co.il/RHtm/1074001-1075000/H1074559.htm
5,11:19 01/01/2017,לוזון קבוצה ,הנהלה ונושאי משרה-מצבת ליום 1.1.17,http://maya.tase.co.il/reports/details/1074521,http://mayafiles.tase.co.il/RHtm/1074001-1075000/H1074521.htm
6,11:11 01/01/2017,קו מנחה ,הנהלה ונושאי משרה-מצבת ליום 1.1.17,http://maya.tase.co.il/reports/details/1074517,http://mayafiles.tase.co.il/RHtm/1074001-1075000/H1074517.htm
7,10:11 01/01/2017,מישורים חברה לפיתוח ,הנהלה ונושאי משרה-מצבת ליום 1.1.17,http://maya.tase.co.il/reports/details/1074498,http://mayafiles.tase.co.il/RHtm/1074001-1075000/H1074498.htm
8,09:18 01/01/2017,לידר שוקי הון ,הנהלה ונושאי משרה-מצבת ליום 1.1.17,http://maya.tase.co.il/reports/details/1074465,http://mayafiles.tase.co.il/RHtm/1074001-1075000/H1074465.htm
9,09:17 01/01/2017,מעברות ,הנהלה ונושאי משרה-מצבת ליום 1.1.17,http://maya.tase.co.il/reports/details/1074463,http://mayafiles.tase.co.il/RHtm/1074001-1075000/H1074463.htm
10,09:09 01/01/2017,גולף ,הנהלה ונושאי משרה-מצבת ליום 1.1.17,http://maya.tase.co.il/reports/details/1074460,http://mayafiles.tase.co.il/RHtm/1074001-1075000/H1074460.htm
11,09:02 01/01/2017,חממה סחר ,הנהלה ונושאי משרה-מצבת ליום 30.12.16,http://maya.tase.co.il/reports/details/1074453,http://mayafiles.tase.co.il/RHtm/1074001-1075000/H1074453.htm
12,08:47 01/01/2017,כלל עסקי ביטוח ,הנהלה ונושאי משרה-מצבת ליום 1.1.17,http://maya.tase.co.il/reports/details/1074447,http://mayafiles.tase.co.il/RHtm/1074001-1075000/H1074447.htm
13,08:41 01/01/2017,בינלאומי ,הנהלה ונושאי משרה-מצבת ליום 1.1.17,http://maya.tase.co.il/reports/details/1074442,http://mayafiles.tase.co.il/RHtm/1074001-1075000/H1074442.htm
14,08:41 01/01/2017,חמת ,הנהלה ונושאי משרה-מצבת ליום 1.1.17,http://maya.tase.co.il/reports/details/1074441,http://mayafiles.tase.co.il/RHtm/1074001-1075000/H1074441.htm
15,00:37 01/01/2017,איי.די.אן-ש ,הנהלה ונושאי משרה-מצבת ליום 28.12.16,http://maya.tase.co.il/reports/details/1074414,http://mayafiles.tase.co.il/RHtm/1074001-1075000/H1074414.htm
16,23:19 29/12/2016,רגנסי ,הנהלה ונושאי משרה-מצבת ליום 29.12.16,http://maya.tase.co.il/reports/details/1074388,http://mayafiles.tase.co.il/RHtm/1074001-1075000/H1074388.htm
