,date,company_name,action,maya_link,html_link
0,18:07 01/01/2004,מיחשוב מערכות ,"מינוי נושא משרה - סמנכ""ל כספים - כהן שלום",http://maya.tase.co.il/reports/details/86496,http://mayafiles.tase.co.il/RHtm/86001-87000/H86496.htm
1,17:22 01/01/2004,נתור ,הנהלה ונושאי משרה - דירקטור - אורי טבק,http://maya.tase.co.il/reports/details/86492,http://mayafiles.tase.co.il/RHtm/86001-87000/H86492.htm
2,12:47 01/01/2004,ניפ ,"מינוי רו""ח -סומך חייקין",http://maya.tase.co.il/reports/details/86379,http://mayafiles.tase.co.il/RHtm/86001-87000/H86379.htm
3,12:31 01/01/2004,נתמ ,"מינוי רו""ח - סומך חייקין",http://maya.tase.co.il/reports/details/86370,http://mayafiles.tase.co.il/RHtm/86001-87000/H86370.htm
4,12:18 01/01/2004,ספנקריט ,"הנהלה ונושאי משרה - רו""ח - קוסט פורר את גבאי",http://maya.tase.co.il/reports/details/86358,http://mayafiles.tase.co.il/RHtm/86001-87000/H86358.htm
5,12:12 01/01/2004,ספנקריט ,הנהלה ונושאי משרה - מזכיר - שחל גדעון,http://maya.tase.co.il/reports/details/86349,http://mayafiles.tase.co.il/RHtm/86001-87000/H86349.htm
6,12:05 01/01/2004,כרמית ,"הנהלה ונושאי משרה - מינוי סמנכ""ל מכירות וסחר - דב ורוצלבסקי",http://maya.tase.co.il/reports/details/86334,http://mayafiles.tase.co.il/RHtm/86001-87000/H86334.htm
7,11:53 01/01/2004,כיל ,"מינוי נושא משרה - משנה למנכ""ל - יהושע (שוקי) גולד",http://maya.tase.co.il/reports/details/86341,http://mayafiles.tase.co.il/RHtm/86001-87000/H86341.htm
8,11:52 01/01/2004,כרמית ,"מינוי נושא משרה - סמנכ""ל תיפעול - רון בהט",http://maya.tase.co.il/reports/details/86339,http://mayafiles.tase.co.il/RHtm/86001-87000/H86339.htm
9,11:29 01/01/2004,לאומי למשכנתאות ,"הנהלה ונושאי משרה - דירקטור, יו""ר ועדת מאזן - ילון יוסף",http://maya.tase.co.il/reports/details/86328,http://mayafiles.tase.co.il/RHtm/86001-87000/H86328.htm
10,11:23 01/01/2004,מלונות אפריקה ,"מינוי נושא משרה - סמנכ""ל תפעול - אבני מיקי",http://maya.tase.co.il/reports/details/86324,http://mayafiles.tase.co.il/RHtm/86001-87000/H86324.htm
11,09:56 01/01/2004,ליפמן ,"מינוי נושא משרה - סמנכ""ל - לילו מייק",http://maya.tase.co.il/reports/details/86301,http://mayafiles.tase.co.il/RHtm/86001-87000/H86301.htm
12,17:59 31/12/2003,וואלה ,מינוי מבקר פנימי - שפירא דניאל,http://maya.tase.co.il/reports/details/86250,http://mayafiles.tase.co.il/RHtm/86001-87000/H86250.htm
13,16:33 31/12/2003,בזק ,מינוי נושא משרה -אחראי פיתוח עסקים - ברונשטיין ארי,http://maya.tase.co.il/reports/details/86223,http://mayafiles.tase.co.il/RHtm/86001-87000/H86223.htm
14,16:24 31/12/2003,דיסקונט ,"הנהלה ונושאי משרה -מינוי רוני חזקיהו כסמנכ""ל-ראש חטיבה עסקית",http://maya.tase.co.il/reports/details/86210,http://mayafiles.tase.co.il/RHtm/86001-87000/H86210.htm
15,15:21 31/12/2003,ספנקריט ,הנהלה ונושאי משרה - דירקטור - עופר אורית,http://maya.tase.co.il/reports/details/86194,http://mayafiles.tase.co.il/RHtm/86001-87000/H86194.htm
16,15:18 31/12/2003,ספנקריט ,הנהלה ונושאי משרה - דירקטור - שחר ערן,http://maya.tase.co.il/reports/details/86193,http://mayafiles.tase.co.il/RHtm/86001-87000/H86193.htm
17,15:15 31/12/2003,ספנקריט ,הנהלה ונושאי משרה - דירקטור - עברי דניאל,http://maya.tase.co.il/reports/details/86192,http://mayafiles.tase.co.il/RHtm/86001-87000/H86192.htm
18,15:11 31/12/2003,ספנקריט ,הנהלה ונושאי משרה - דירקטור - לויטה אליעזר,http://maya.tase.co.il/reports/details/86191,http://mayafiles.tase.co.il/RHtm/86001-87000/H86191.htm
19,14:54 31/12/2003,ספנקריט ,הנהלה ונושאי משרה - דירקטור - דשתי בתיה,http://maya.tase.co.il/reports/details/86181,http://mayafiles.tase.co.il/RHtm/86001-87000/H86181.htm
20,14:44 31/12/2003,ספנקריט ,הנהלה ונושאי משרה - דירקטור - יפה דוד,http://maya.tase.co.il/reports/details/86176,http://mayafiles.tase.co.il/RHtm/86001-87000/H86176.htm
21,14:40 31/12/2003,ספנקריט ,"הנהלה ונושאי משרה - דח""צ - נינוה יוסף",http://maya.tase.co.il/reports/details/86174,http://mayafiles.tase.co.il/RHtm/86001-87000/H86174.htm
22,14:32 31/12/2003,ספנקריט ,"הנהלה ונושאי משרה - דח""צ - דר' רבן יואל",http://maya.tase.co.il/reports/details/86166,http://mayafiles.tase.co.il/RHtm/86001-87000/H86166.htm
23,14:19 31/12/2003,ספנקריט ,הנהלה ונושאי משרה - דירקטור - ונטורה מרדי,http://maya.tase.co.il/reports/details/86150,http://mayafiles.tase.co.il/RHtm/86001-87000/H86150.htm
24,14:12 31/12/2003,ספנקריט ,"הנהלה ונושאי משרה - יו""ר דירקטוריון - קומט ישראל",http://maya.tase.co.il/reports/details/86147,http://mayafiles.tase.co.il/RHtm/86001-87000/H86147.htm
