,date,company_name,action,maya_link,html_link
0,22:04 01/01/2013,"קרדן נדל""ן ","דירק החב אישר מינוי מיכאל זיסמן כמנכ""ל, החל מ-1.2.13",http://maya.tase.co.il/reports/details/787416,http://mayafiles.tase.co.il/RHtm/787001-788000/H787416.htm
1,16:13 01/01/2013,בית שמש ,"מינוי נושא משרה-סמנכ""ל כספים -גיל כרמלי",http://maya.tase.co.il/reports/details/787248,http://mayafiles.tase.co.il/RHtm/787001-788000/H787248.htm
2,11:15 01/01/2013,ווידמד ,"מינוי נושא משרה-סמנכ""ל כספים -שרף-בלאו מורן",http://maya.tase.co.il/reports/details/787069,http://mayafiles.tase.co.il/RHtm/787001-788000/H787069.htm
3,10:04 01/01/2013,כלל עסקי ביטוח ,מינוי נושא משרה-מנהל חטיבת בריאות-דניאל כהן,http://maya.tase.co.il/reports/details/787025,http://mayafiles.tase.co.il/RHtm/787001-788000/H787025.htm
4,09:49 01/01/2013,אינטר תעשיות ,"אסיפה ב5.2.13,אישור מינוי אריה קורוטקין כמנכל ודירק',כ.הצבעה",http://maya.tase.co.il/reports/details/786988,http://mayafiles.tase.co.il/rpdf/786001-787000/P786988-00.pdf
5,09:26 01/01/2013,גב ים ,"מינוי מנכ""ל-יעקובוביץ אבי",http://maya.tase.co.il/reports/details/786982,http://mayafiles.tase.co.il/RHtm/786001-787000/H786982.htm
6,09:02 01/01/2013,פלסאון תעשיות ,"מינוי מנכ""ל-גלעד אגמון",http://maya.tase.co.il/reports/details/786941,http://mayafiles.tase.co.il/RHtm/786001-787000/H786941.htm
7,08:25 01/01/2013,אפקון החזקות ,"מינוי נושא משרה-סמנכ""ל כספים -רונית אבן זהב מייטין ",http://maya.tase.co.il/reports/details/786901,http://mayafiles.tase.co.il/RHtm/786001-787000/H786901.htm
8,08:06 01/01/2013,לאומי ,"מינוי נושא משרה-מ""מ ראש חטיבת תפעול ומחשוב-וולף משה",http://maya.tase.co.il/reports/details/786890,http://mayafiles.tase.co.il/RHtm/786001-787000/H786890.htm
9,08:04 01/01/2013,לאומי ,"מינוי נושא משרה-סמנכ""ל, ראש החטיבה הבנקאית-יסעור תמר",http://maya.tase.co.il/reports/details/786889,http://mayafiles.tase.co.il/RHtm/786001-787000/H786889.htm
10,19:53 31/12/2012,אלרוב ישראל ,"תוצ' אסיפה כללית מ-31.12.12, מינוי דח""צ ",http://maya.tase.co.il/reports/details/786846,http://mayafiles.tase.co.il/RHtm/786001-787000/H786846.htm
11,18:32 31/12/2012,כנפיים ,מינוי דירקטור - שלמה חנאל,http://maya.tase.co.il/reports/details/786778,http://mayafiles.tase.co.il/RHtm/786001-787000/H786778.htm
12,17:38 31/12/2012,אלוני חץ ,"תוצ' אסיפה מיום 31.12.12, מינוי ב.שליטה כמנכל,ביטוח נ.משרה",http://maya.tase.co.il/reports/details/786697,http://mayafiles.tase.co.il/RHtm/786001-787000/H786697.htm
13,11:09 31/12/2012,גליקומיינדס ,"זימון אסיפה מיוחדת ל5.2.13-מינוי דח""צ,שיפוי לדירק',כ.הצבעה",http://maya.tase.co.il/reports/details/786390,http://mayafiles.tase.co.il/RHtm/786001-787000/H786390.htm
14,10:28 31/12/2012,ממן ,מינוי נושא משרה - מנהל מסוף המטענים - אסף עמית,http://maya.tase.co.il/reports/details/786386,http://mayafiles.tase.co.il/RHtm/786001-787000/H786386.htm
15,07:11 31/12/2012,אפקון החזקות ,"מינוי דח""צ - עמליה פז",http://maya.tase.co.il/reports/details/786306,http://mayafiles.tase.co.il/RHtm/786001-787000/H786306.htm
16,17:59 30/12/2012,מטי ,"מינוי דח""צ - דפנה שלו-פלם",http://maya.tase.co.il/reports/details/786238,http://mayafiles.tase.co.il/RHtm/786001-787000/H786238.htm
17,15:02 30/12/2012,אלמוגים החזקות ,"מינוי מנכ""ל-יצחק ענבר",http://maya.tase.co.il/reports/details/786128,http://mayafiles.tase.co.il/RHtm/786001-787000/H786128.htm
18,14:43 30/12/2012,אוהה ,מינוי דירקטור - דורון תמיר,http://maya.tase.co.il/reports/details/786118,http://mayafiles.tase.co.il/RHtm/786001-787000/H786118.htm
19,14:40 30/12/2012,אוהה ,מינוי דירקטור - שמעון שטרית,http://maya.tase.co.il/reports/details/786116,http://mayafiles.tase.co.il/RHtm/786001-787000/H786116.htm
20,14:37 30/12/2012,אוהה ,מינוי דירקטור - ישראל פלג,http://maya.tase.co.il/reports/details/786114,http://mayafiles.tase.co.il/RHtm/786001-787000/H786114.htm
21,14:19 30/12/2012,אנליסט ,"מינוי דח""צ - מיכאל גלאי - תיקון דוח",http://maya.tase.co.il/reports/details/786098,http://mayafiles.tase.co.il/RHtm/786001-787000/H786098.htm
22,13:49 30/12/2012,אלמוגים החזקות ,"מינוי נושא משרה-סמנכ""ל כספים -איתי מרצקי",http://maya.tase.co.il/reports/details/786090,http://mayafiles.tase.co.il/RHtm/786001-787000/H786090.htm
23,13:23 30/12/2012,אנליסט ,"מינוי דח""צ - מיכאל גלאי",http://maya.tase.co.il/reports/details/786073,http://mayafiles.tase.co.il/RHtm/786001-787000/H786073.htm
24,20:37 27/12/2012,"רבוע כחול נדל""ן ","זימון אסיפה ל10.1-מינוי דח""צ, תנאי כהונה,מינוי משרד רו""ח",http://maya.tase.co.il/reports/details/785890,http://mayafiles.tase.co.il/RHtm/785001-786000/H785890.htm
25,18:29 27/12/2012,פלרם ,מינוי דירקטור - שור זאב,http://maya.tase.co.il/reports/details/785873,http://mayafiles.tase.co.il/RHtm/785001-786000/H785873.htm
26,17:35 27/12/2012,פלסאון תעשיות ,מינוי דירקטור - מירי קולניק (יהלום),http://maya.tase.co.il/reports/details/785836,http://mayafiles.tase.co.il/RHtm/785001-786000/H785836.htm
27,16:52 27/12/2012,ווידמד ,"מינוי דח""צ - אפריים ארגמן",http://maya.tase.co.il/reports/details/785797,http://mayafiles.tase.co.il/RHtm/785001-786000/H785797.htm
28,16:47 27/12/2012,ווידמד ,"מינוי דח""צ - ד""ר יניב אירית",http://maya.tase.co.il/reports/details/785793,http://mayafiles.tase.co.il/RHtm/785001-786000/H785793.htm
29,16:35 27/12/2012,ווידמד ,"תוצ' אסיפה מ27.12.12,מינוי בר-לב כיו""ר,מינוי דח""צ,גמול דירק'",http://maya.tase.co.il/reports/details/785786,http://mayafiles.tase.co.il/RHtm/785001-786000/H785786.htm
30,15:44 27/12/2012,רבל ,"מינוי נושא משרה-מנכ""ל ארקל אגש""ח בע""מ-רם דרורי",http://maya.tase.co.il/reports/details/785757,http://mayafiles.tase.co.il/RHtm/785001-786000/H785757.htm
31,15:39 27/12/2012,רבל ,"מינוי נושא משרה-מנכ""ל רביב אי.סי.אס בע""מ-אפי חגי ",http://maya.tase.co.il/reports/details/785749,http://mayafiles.tase.co.il/RHtm/785001-786000/H785749.htm
32,15:35 27/12/2012,פרדס ,מינוי דירקטור - רוזנברג הדסה,http://maya.tase.co.il/reports/details/785745,http://mayafiles.tase.co.il/RHtm/785001-786000/H785745.htm
33,14:58 27/12/2012,חשמל ,מינוי דירקטור - פרנק גדעון,http://maya.tase.co.il/reports/details/785723,http://mayafiles.tase.co.il/RHtm/785001-786000/H785723.htm
34,11:24 27/12/2012,חיון ,"מינוי נושא משרה-סמנכ""ל - אחראי תחום ההפצה-גבעתי יובל",http://maya.tase.co.il/reports/details/785615,http://mayafiles.tase.co.il/RHtm/785001-786000/H785615.htm
35,11:11 27/12/2012,תדיראן הולדינגס ,"תוצ' אסיפה מ-27.12, אישור הארכת כהונת דח""צ ומינוי יו""ר דירק'",http://maya.tase.co.il/reports/details/785610,http://mayafiles.tase.co.il/RHtm/785001-786000/H785610.htm
36,10:00 27/12/2012,קולפלנט אחזקות ,מינוי דירקטור - תומר קריב - תיקון דוח,http://maya.tase.co.il/reports/details/785564,http://mayafiles.tase.co.il/RHtm/785001-786000/H785564.htm
37,20:19 26/12/2012,מנורה מב החזקות ,"אסיפה ב31.1-מינוי דח""צ,חידוש הסכם העסקת סמנכ""ל חב בת",http://maya.tase.co.il/reports/details/785483,http://mayafiles.tase.co.il/rpdf/785001-786000/P785483-00.pdf
38,17:56 26/12/2012,תעשיה אוירית ,מינוי נושא משרה-סגן מנהל כללי -בועז לוי,http://maya.tase.co.il/reports/details/785446,http://mayafiles.tase.co.il/RHtm/785001-786000/H785446.htm
39,17:50 26/12/2012,טופ מערכות ,מינוי דירקטור - יוסי אמיר,http://maya.tase.co.il/reports/details/785443,http://mayafiles.tase.co.il/RHtm/785001-786000/H785443.htm
40,17:44 26/12/2012,נכסים ובנין ,"זימון אסיפה מיוחדת ליום 4.2.13-מינוי דירקטור,כ.הצבעה",http://maya.tase.co.il/reports/details/785432,http://mayafiles.tase.co.il/RHtm/785001-786000/H785432.htm
41,16:52 26/12/2012,מטריקס ,"מינוי דח""צ - חי עמיר",http://maya.tase.co.il/reports/details/785415,http://mayafiles.tase.co.il/RHtm/785001-786000/H785415.htm
