,date,company_name,action,maya_link,html_link
100,23:53 07/01/2015,ישראל קנדה ,"מינוי נושא משרה-משנה למנכ""ל ושמאית החברה-מירב סגל",http://maya.tase.co.il/reports/details/943088,http://mayafiles.tase.co.il/RHtm/943001-944000/H943088.htm
101,22:41 07/01/2015,אתלון השקעות ,"מינוי דח""צ - ברשאן חזי",http://maya.tase.co.il/reports/details/943080,http://mayafiles.tase.co.il/RHtm/943001-944000/H943080.htm
102,22:28 07/01/2015,אתלון השקעות ,"תוצ' אסיפה כללית מיום 7.1.15, מינוי דח""צ",http://maya.tase.co.il/reports/details/943078,http://mayafiles.tase.co.il/RHtm/943001-944000/H943078.htm
103,21:15 07/01/2015,עילדב השקעות ,מינוי דירקטור - רוטר אריאל,http://maya.tase.co.il/reports/details/943074,http://mayafiles.tase.co.il/RHtm/943001-944000/H943074.htm
104,20:20 07/01/2015,דירקט קפיטל-ש ,"מינוי יו""ר דירקטוריון - מיטל ערן",http://maya.tase.co.il/reports/details/943062,http://mayafiles.tase.co.il/RHtm/943001-944000/H943062.htm
105,18:10 07/01/2015,נאוסיטי ,"מינוי נושא משרה-מ""מ מנכ""ל-רובינשטיין תמר",http://maya.tase.co.il/reports/details/943032,http://mayafiles.tase.co.il/RHtm/943001-944000/H943032.htm
106,16:59 07/01/2015,חברה לישראל ,"מינוי נושא משרה-""מ סמנכ""ל כספים-ילובסקי נתן",http://maya.tase.co.il/reports/details/943005,http://mayafiles.tase.co.il/RHtm/943001-944000/H943005.htm
107,16:56 07/01/2015,חברה לישראל ,"מינוי מנכ""ל-פז אבישר",http://maya.tase.co.il/reports/details/943004,http://mayafiles.tase.co.il/RHtm/943001-944000/H943004.htm
108,15:48 07/01/2015,דורסל ,"מינוי נושא משרה- סמנכ""ל נכסים - חן מעוז",http://maya.tase.co.il/reports/details/942963,http://mayafiles.tase.co.il/RHtm/942001-943000/H942963.htm
109,15:20 07/01/2015,אינטרקולוני ,מינוי דירקטור - רן משה שחק - תיקון דוח,http://maya.tase.co.il/reports/details/942937,http://mayafiles.tase.co.il/RHtm/942001-943000/H942937.htm
110,13:09 07/01/2015,אסיה פיתוח ,מינוי דירקטור - צאיג שושנה,http://maya.tase.co.il/reports/details/942874,http://mayafiles.tase.co.il/RHtm/942001-943000/H942874.htm
111,13:03 07/01/2015,אסיה פיתוח ,מינוי דירקטור - יורש אלי,http://maya.tase.co.il/reports/details/942872,http://mayafiles.tase.co.il/RHtm/942001-943000/H942872.htm
112,13:00 07/01/2015,אסיה פיתוח ,מינוי דירקטור - וייסברג רון,http://maya.tase.co.il/reports/details/942871,http://mayafiles.tase.co.il/RHtm/942001-943000/H942871.htm
113,12:56 07/01/2015,אסיה פיתוח ,"מינוי דח""צ - כהן אבישי",http://maya.tase.co.il/reports/details/942867,http://mayafiles.tase.co.il/RHtm/942001-943000/H942867.htm
114,12:54 07/01/2015,קרדן רכב ,מינוי נושא משרה-חשב -שלומי חיים,http://maya.tase.co.il/reports/details/942865,http://mayafiles.tase.co.il/RHtm/942001-943000/H942865.htm
115,12:43 07/01/2015,אסיה פיתוח ,"מינוי רו""ח-אחר שטראוס לזר ושות'",http://maya.tase.co.il/reports/details/942854,http://mayafiles.tase.co.il/RHtm/942001-943000/H942854.htm
