,date,company_name,action,maya_link,html_link
0,19:26 01/01/2014,בינלאומי ,"מינוי סגנית ראש חטיבה ומנהלת מחלקת ני""ע ארצית-גולן אלה-משלים",http://maya.tase.co.il/reports/details/869317,http://mayafiles.tase.co.il/RHtm/869001-870000/H869317.htm
1,18:43 01/01/2014,ברן ,"זימון אסיפה שנתית ל-6.2.14-כתב הצבעה, מינוי דירקטורים",http://maya.tase.co.il/reports/details/869298,http://mayafiles.tase.co.il/RHtm/869001-870000/H869298.htm
2,17:22 01/01/2014,אוריין ,מינוי דירקטור - רז יעקב,http://maya.tase.co.il/reports/details/869263,http://mayafiles.tase.co.il/RHtm/869001-870000/H869263.htm
3,15:45 01/01/2014,מלונות הכשרה ,מינוי נושא משרה - סרנגה קרן,http://maya.tase.co.il/reports/details/869175,http://mayafiles.tase.co.il/RHtm/869001-870000/H869175.htm
4,15:45 01/01/2014,גדות ביוכימיה ,"מינוי יו""ר דירקטוריון - חתמי אבי",http://maya.tase.co.il/reports/details/869173,http://mayafiles.tase.co.il/RHtm/869001-870000/H869173.htm
5,13:46 01/01/2014,ריט 1 ,מינוי נושא משרה-חשב-אבירם בנאסולי,http://maya.tase.co.il/reports/details/869077,http://mayafiles.tase.co.il/RHtm/869001-870000/H869077.htm
6,13:28 01/01/2014,אנדימד ,"מינוי מנכ""ל-אלעד מגל - תיקון דוח",http://maya.tase.co.il/reports/details/869070,http://mayafiles.tase.co.il/RHtm/869001-870000/H869070.htm
7,12:59 01/01/2014,אנדימד ,"מינוי מנכ""ל-אלעד מגל",http://maya.tase.co.il/reports/details/869053,http://mayafiles.tase.co.il/RHtm/869001-870000/H869053.htm
8,12:58 01/01/2014,פטרוכימיים ,"מינוי נושא משרה - מ""מ מנכ""ל-הרוש צוקי-דוח משלים",http://maya.tase.co.il/reports/details/869052,http://mayafiles.tase.co.il/RHtm/869001-870000/H869052.htm
9,12:55 01/01/2014,אנדימד ,"מינוי יו""ר דירקטוריון - עוזי בלומנזון",http://maya.tase.co.il/reports/details/869044,http://mayafiles.tase.co.il/RHtm/869001-870000/H869044.htm
10,11:31 01/01/2014,אורביט ,"מינוי נושא משרה-סמנכ""ל תפעול ושירות-בנצי רזיאל",http://maya.tase.co.il/reports/details/869003,http://mayafiles.tase.co.il/RHtm/869001-870000/H869003.htm
11,11:03 01/01/2014,מדיגוס ,"מינוי נושא משרה-סמנכ""ל - אירופה-רידל מילנה",http://maya.tase.co.il/reports/details/868988,http://mayafiles.tase.co.il/RHtm/868001-869000/H868988.htm
12,09:49 01/01/2014,מטריקס ,"מינוי נושא משרה-סמנכ""ל מכירות-אנגלר רונן (יואל)",http://maya.tase.co.il/reports/details/868947,http://mayafiles.tase.co.il/RHtm/868001-869000/H868947.htm
13,08:43 01/01/2014,מ.א. תעשיות ,"מינוי נושא משרה-סמנכ""ל טכנולוגיות חקלאיות ייחודיות-שני אורי",http://maya.tase.co.il/reports/details/868872,http://mayafiles.tase.co.il/RHtm/868001-869000/H868872.htm
14,19:48 31/12/2013,קרסו מוטורס ,"מינוי נושא משרה-סמנכ""ל רכש -אחלאו שלומי",http://maya.tase.co.il/reports/details/868793,http://mayafiles.tase.co.il/RHtm/868001-869000/H868793.htm
15,18:37 31/12/2013,אינסוליין ,מינוי דירקטור - נוסבאום רן,http://maya.tase.co.il/reports/details/868767,http://mayafiles.tase.co.il/RHtm/868001-869000/H868767.htm
16,16:00 31/12/2013,אקס טי אל ,"מינוי דוד קסטנבאום כסמנכ""ל כספים מ5.1 חלף רונן טויטו שהתפטר",http://maya.tase.co.il/reports/details/868632,http://mayafiles.tase.co.il/RHtm/868001-869000/H868632.htm
17,14:22 31/12/2013,אל על ,מינוי דירקטור-רות דהן (פורטנוי) ,http://maya.tase.co.il/reports/details/868552,http://mayafiles.tase.co.il/RHtm/868001-869000/H868552.htm
18,12:49 31/12/2013,על בד ,מינוי נושא משרה-מנהל פרויקטים -אברג'ל מרקו ,http://maya.tase.co.il/reports/details/868478,http://mayafiles.tase.co.il/RHtm/868001-869000/H868478.htm
19,12:28 31/12/2013,על בד ,"מינוי נושא משרה-סמנכ""ל תפעול -לבבי נחום",http://maya.tase.co.il/reports/details/868465,http://mayafiles.tase.co.il/RHtm/868001-869000/H868465.htm
20,12:22 31/12/2013,סקורפיו ,"מינוי נושא משרה-סמנכ""ל כספים-גלינקין מריאנה",http://maya.tase.co.il/reports/details/868456,http://mayafiles.tase.co.il/RHtm/868001-869000/H868456.htm
21,12:16 31/12/2013,סקורפיו ,"מינוי יו""ר דירקטוריון - הולנדר שלמה",http://maya.tase.co.il/reports/details/868451,http://mayafiles.tase.co.il/RHtm/868001-869000/H868451.htm
22,11:45 31/12/2013,על בד ,מינוי נושא משרה-מנהל אתרי ישראל-זהר פרנקל,http://maya.tase.co.il/reports/details/868419,http://mayafiles.tase.co.il/RHtm/868001-869000/H868419.htm
